ingredient_th,baowio_food_code,baowio_matched_name_th,energy_kcal_per100g,protein_g_per100g,fat_g_per100g,carb_g_per100g,source_note
เส้นใหญ่,A4,"ก๋วยเตี๋ยวเส้นใหญ่, สด",155.0,2.87,1.71,,BaoWio
หมู,F75,"หมู, เนื้อ, ดิบ",124.0,21.13,3.97,,BaoWio
ไข่,–,ไข่ไก่ ดิบ,143.0,12.6,9.8,0.7,USDA whole egg
คะน้า,–,คะน้า (Chinese kale),26.0,2.8,0.5,3.6,USDA kale
ซีอิ๊วดำ,–,ซีอิ๊วดำ,60.0,5.7,0.1,7.5,HARDCODE
ซีอิ๊วขาว,–,ซีอิ๊วขาว,53.0,8.1,0.1,4.9,HARDCODE
น้ำมันหอย,–,น้ำมันหอย,54.0,1.5,0.3,11.1,HARDCODE
น้ำตาล,–,น้ำตาลทราย,387.0,0.0,0.0,100.0,HARDCODE
กระเทียม,–,กระเทียม,149.0,6.4,0.5,33.1,USDA garlic
น้ำมันพืช,–,น้ำมันพืช,884.0,0.0,100.0,0.0,HARDCODE
น้ำพริกเผา,–,น้ำพริกเผา,200.0,2.0,15.0,17.0,USDA roasted chili paste
เส้นเล็ก,A3,"ก๋วยเตี๋ยวเส้นเล็ก, สด",234.0,4.07,0.95,,BaoWio
เนื้อหมู,F75,"หมู, เนื้อ, ดิบ",124.0,21.13,3.97,,BaoWio
ลูกชิ้น,–,ลูกชิ้น,100.0,12.0,3.5,5.0,USDA fish ball
ผักบุ้ง,–,ผักบุ้ง,19.0,2.6,0.2,3.1,USDA water spinach
ถั่วงอก,–,ถั่วงอก,30.0,3.0,0.2,5.9,USDA mung sprouts
น้ำซุปเครื่องเทศ,–,น้ำซุปเครื่องเทศ,10.0,1.0,0.3,1.0,USDA broth approx
พริกป่น,–,พริกป่น,314.0,12.8,17.0,56.6,HARDCODE
น้ำตาลปี๊บ,–,น้ำตาลปี๊บ,375.0,0.0,0.0,98.0,HARDCODE
เส้นจันท์,A3,"ก๋วยเตี๋ยวเส้นเล็ก, สด",234.0,4.07,0.95,,BaoWio
ไข่ (ห่อนอก),–,ไข่ไก่ ดิบ,143.0,12.6,9.8,0.7,USDA whole egg
กุ้ง,–,กุ้ง,85.0,20.1,0.9,0.0,USDA shrimp raw
ใบกุยช่าย,–,ใบกุยช่าย,30.0,2.1,0.6,4.6,USDA garlic chives
ถั่วลิสงป่น,C106,"ถั่วลิสง, คั่ว, ไม่รวมเยื่อหุ้มเมล็ด",567.0,26.38,48.65,21.5,BaoWio+USDA patch
น้ำมะขามเปียก,–,น้ำมะขามเปียก,50.0,0.4,0.1,12.0,USDA tamarind
น้ำปลา,–,น้ำปลา,35.0,5.0,0.0,3.6,HARDCODE
หัวไชโป๊,–,หัวไชโป๊,30.0,1.0,0.2,6.0,USDA preserved radish
วุ้นเส้น,C77,"วุ้นเส้น, ถั่วเขียว 100 %, แห้ง",335.0,0.14,0.2,83.2,BaoWio+USDA patch
ผักกาดขาว,D70,"ผักกาดขาวใบเขียว, ดิบ",16.0,1.3,0.2,3.2,BaoWio+USDA patch
ซอสสุกี้ยากี้,–,ซอสสุกี้ยากี้,70.0,1.0,0.5,16.0,USDA sukiyaki
กระเทียมเจียว,–,กระเทียมเจียว,250.0,7.0,15.0,25.0,USDA fried garlic
เส้นใหญ่ (ลวก,A4,"ก๋วยเตี๋ยวเส้นใหญ่, สด",155.0,2.87,1.71,,BaoWio
ซอสปรุงรส+ซีอิ๊วขาว+น้ำมันหอย,–,ซอสปรุงรส ผสม,53.0,4.0,0.2,8.0,HC blend
แป้งมันราดข้น,–,แป้งมัน,357.0,0.2,0.0,88.0,USDA tapioca starch
ลูกชิ้นปลา,–,ลูกชิ้นปลา,95.0,12.0,2.0,6.0,USDA fish ball
เต้าหู้ขาว,C47,"เต้าหู้ขาว, ชนิดอ่อน, บรรจุกล่อง",53.0,6.36,3.06,1.9,BaoWio+USDA patch
น้ำซุปซอสเย็นตาโฟ (สีชมพู),–,ซอสเย็นตาโฟ,40.0,1.5,0.5,7.5,USDA approx
ขนมจีน,A8,ขนมจีน,103.0,1.43,0.31,,BaoWio
เนื้อ,F59,"วัว, เนื้อ, ดิบ",119.0,20.3,4.2,,BaoWio
เลือดหมู,–,เลือดหมู,54.0,10.5,0.7,0.7,USDA pork blood
มะเขือเทศ,D118,"มะเขือเทศ, สุก",18.0,1.0,0.35,3.9,BaoWio+USDA patch
ดอกงิ้วแห้ง,–,ดอกงิ้วแห้ง,20.0,1.0,0.2,4.0,USDA approx
ถั่วเน่า,–,ถั่วเน่า,112.0,8.0,4.0,8.0,USDA natto approx
พริกแกงเงี้ยว,–,พริกแกงเงี้ยว,95.0,3.0,2.5,14.0,USDA curry paste
